album_sales,genre
7657000,hip hop
6111355,hip hop
4421666,r&b
4207235,pop
4170954,pop
3661560,pop
3462374,pop
3418440,pop
3189149,pop
2727078,pop
13430805,pop
6295619,pop
5746523,pop
4790478,rock
4070414,hip hop
3681211,r&b
3371000,country
3220000,rock
3190000,r&b
3091731,pop
6636118,hip hop
6133983,hip hop
4907811,hip hop
4866789,pop
4050810,pop
3932852,hip hop
3522713,hip hop
3376138,hip hop
3363039,pop
2585920,rock
6031516,pop
6243665,hip hop
5670554,pop
4787733,pop
3665436,pop
3646799,pop
3357000,country
3300000,pop
3080507,pop
2551838,pop
6829450,pop
5397015,pop
4777389,hip hop
4402942,r&b
4115487,pop
3920000,hip hop
3332300,pop
3045000,hip hop
2947398,pop
2741096,hip hop
4485025,pop
3830500,pop
3633287,pop
3498564,pop
3461000,country
3402981,hip hop
3051131,pop
2401368,pop
2264500,hip hop
1909009,pop
